No.,NT_Name {properties.title},ID,DCMSList,Strapline,Y {latitude},X {longitude},Lines,Town,County,Country,Postcode,Region,Phone,Email,Website {properties.url},"{$.@id=""https://w3id.org/locolligo/National-Trust-Sites""}"
98,Penrose,1130,0,"Wooded country around Cornwall's largest natural lake. Penrose features woodland tracks, stretches of coastline and open parkland, the perfect backdrop for a day out.",50.086196,-5.301873,Penrose,Helston,Cornwall,England,TR13 0RD,South West,4.41327E+11,penrose@nationaltrust.org.uk,https://www.nationaltrust.org.uk/penrose,
99,Duffield Castle,4508,1,The remains of one of England's largest castles,52.9925,-1.4892,Milford Road,Duffield,Derbyshire,England,DE56 4DW,Midlands,4.41333E+11,duffieldcastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/duffield-castle,
100,Wray Castle,6049,1,"Gothic Revival castle sitting on the shores of Lake Windermere with turrets, towers and informal grounds",54.400611,-2.964237,Low Wray,Ambleside,Cumbria,England,LA22 0JA,North West,4.41539E+11,wraycastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/wray-castle,
101,Uppark House and Garden,345,1,A tranquil 17th-century house set within intimate gardens and woodland.,50.952702,-0.88896,South Harting,Petersfield,West Sussex,England,GU31 5QR,London and South East,4.41731E+11,uppark@nationaltrust.org.uk,https://www.nationaltrust.org.uk/uppark-house-and-garden,
102,Patterson's Spade Mill,256,1,The last working water-driven spade mill in daily use in the British Isles,54.700777,-6.043718,751 Antrim Road,Templepatrick,County Antrim,Northern Ireland,BT39 0AP,Northern Ireland,4.42894E+11,pattersons@nationaltrust.org.uk,https://www.nationaltrust.org.uk/pattersons-spade-mill,
103,Lanhydrock,198,1,Magnificent late Victorian country house with garden and wooded estate,50.450248,-4.694002,--,Bodmin,Cornwall,England,PL30 4AB,South West,4.41208E+11,lanhydrock@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lanhydrock,
104,Leith Hill Tower and Countryside,200,1,"Come and explore the trails through woodland, heathland, and farmland before climbing to the top of the majestic Leith Hill Tower.",51.176899,-0.37276,near Coldharbour village,Dorking,Surrey,England,--,London and South East,4.41307E+11,leithhill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/leith-hill-tower-and-countryside,
105,Calke Abbey,61,1,The un-stately home and country estate,52.808253,-1.472834,Ticknall,Derby,Derbyshire,England,DE73 7JF,Midlands,4.41333E+11,calkeabbey@nationaltrust.org.uk,https://www.nationaltrust.org.uk/calke-abbey,
106,Quebec House,273,1,"Childhood home of General James Wolfe, victor of the Battle of Quebec (1759)",51.268002,0.07833,Quebec Square,Westerham,Kent,England,TN16 1TD,London and South East,4.4196E+11,quebechouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/quebec-house,
107,Old Soar Manor,247,1,Remains of a late 13th-century knight's dwelling,51.263059,0.319018,Plaxtol,Borough Green,Kent,England,TN15 0QX,London and South East,4.41733E+11,oldsoarmanor@nationaltrust.org.uk,https://www.nationaltrust.org.uk/old-soar-manor,
108,Hod Hill,5404,0,Dorset's largest hill fort renowned for its downland wildlife,50.875819,-2.203193,Stourpaine,Nr Blandford Forum,Dorset,England,--,South West,4.41297E+11,westdorset@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hod-hill,
109,Mussenden Temple and Downhill Demesne,110,1,Visit this stunning landscape and beautiful gardens.,55.1609,-6.80705,Mussenden Road,Castlerock,County Londonderry,Northern Ireland,BT51 4RP,Northern Ireland,4.42871E+11,downhilldemesne@nationaltrust.org.uk,https://www.nationaltrust.org.uk/mussenden-temple-and-downhill-demesne,
110,Strangford Lough,5045,0,A most beautiful landscape of international importance,54.373741,-5.579002,--,Strangford,County Down,Northern Ireland,--,Northern Ireland,4.42843E+11,strangford@nationaltrust.org.uk,https://www.nationaltrust.org.uk/strangford-lough,
111,Penrhyn Castle and Garden,259,1,Fantasy castle with industrial and colonial foundations,53.217338,-4.1013778,--,Bangor,Gwynedd,Wales,LL57 4HT,Wales,4.41248E+11,penrhyncastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/penrhyn-castle,
112,Holywell,5053,0,A classic north Cornish beach with a sweep of golden sand and a towering dune system,50.385996,-5.1424974,North Cornwall coast,near Newquay,Cornwall,England,--,South West,4.41209E+11,holywell@nationaltrust.org.uk,https://www.nationaltrust.org.uk/holywell,
113,Bodysgallen Hall and Spa,3040,0,"Bodysgallen Hall Hotel Restaurant & Spa, C17th Grade 1 listed set in 220 acres",53.296799,-3.802557,The Royal Welsh Way,Llandudno,Conwy,Wales,LL30 1RS,Wales,4.41493E+11,info@bodysgallen.com,--,
114,Gibside,142,1,A Georgian landscape garden forged in an industrial past,54.920502,-1.73174,near Rowlands Gill,Gateshead,Tyne & Wear,England,NE16 6BG,Yorkshire and North East,4.41208E+11,gibside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/gibside,
115,Rowallane Garden,281,1,A treasure trove of magical gardens and woodlands,54.447102,-5.82684,--,Saintfield,County Down,Northern Ireland,BT24 7LH,Northern Ireland,4.42898E+11,rowallane@nationaltrust.org.uk,https://www.nationaltrust.org.uk/rowallane-garden,
116,Fell Foot,128,0,Lakeshore park with stunning mountain views,54.27402,-2.952607,Newby Bridge,Windermere,Cumbria,England,LA12 8NN,North West,4.4154E+11,fellfoot@nationaltrust.org.uk,https://www.nationaltrust.org.uk/fell-foot,
117,Cadover Bridge,6218,0,"Tranquil moorland by the River Plym with pools. Starting point for walks across open moors and tors, or ancient woodland",50.463626,-4.036676,on Dartmoor; near Shaugh Prior,--,Devon,England,--,South West,4.41753E+11,dartmoor@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cadover-bridge,
118,Beatrix Potter Gallery and Hawkshead,26,1,Beatrix Potter's original artwork on display in a 17th-century house,54.373798,-2.99525,Main Street,Hawkshead,Cumbria,England,LA22 0NS,North West,4.41539E+11,beatrixpottergallery@nationaltrust.org.uk,https://www.nationaltrust.org.uk/beatrix-potter-gallery-and-hawkshead,
119,Wembury,246,0,"A spectacular stretch of coastline boasting dramatic cliffs, diverse wildlife and a beach renowned for rockpooling",50.316836,-4.084386,Wembury Beach,Wembury,Devon,England,PL9 0HP,South West,4.41752E+11,wembury@nationaltrust.org.uk,https://www.nationaltrust.org.uk/wembury,
120,Combe Wood,6084,0,Escape the bustle and enjoy a secluded woodland walk,50.80767,-3.191013,--,near Honiton,Devon,England,EX14,South West,4.41752E+11,southdevon@nationaltrust.org.uk,--,
121,Roseberry Topping,282,0,Distinctive and iconic landmark with fine views across North Yorkshire and Cleveland,54.5056,-1.10471,--,Newton-under-Roseberry,North Yorkshire,England,TS9 6QR,Yorkshire and North East,4.41724E+11,roseberrytopping@nationaltrust.org.uk,https://www.nationaltrust.org.uk/roseberry-topping,
122,Coldrum Long Barrow,6067,0,Stunning views from the top of the barrow,51.3214,0.3665,Trottiscliffe,West Malling,Kent,England,ME19 5EG,London and South East,4.41733E+11,ighthammote@nationaltrust.org.uk,https://www.nationaltrust.org.uk/coldrum-long-barrow,
123,Port Quin,5425,0,A peaceful sheltered inlet on an outstanding stretch of unspoilt coast,50.588931,-4.866948,North Cornwall coast,near Polzeath,Cornwall,England,--,South West,4.41209E+11,portquin@nationaltrust.org.uk,https://www.nationaltrust.org.uk/port-quin,
124,Lizard Point,207,0,"Dramatic cliffs shaped by the Atlantic. The Lizard features white beaches, turquoise seas and unique nature.  ",49.959434,-5.2063796,The Lizard,near Helston,Cornwall,England,TR12 7NT,South West,4.41326E+11,lizard@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lizard-point,
125,Bransdale,6246,0,"Surrounded by dramatic open moorland, Bransdale is a quiet green oasis characterised by a patchwork of farmland and drystone walls.",54.350815,-1.035879,Bransdale,Fadmoor,Yorkshire,England,YO62 7JL,Yorkshire and North East,4.41724E+11,bransdale@nationaltrust.org.uk,https://www.nationaltrust.org.uk/bransdale,
126,May Hill,5106,0,Wild and open landmark crowned with a distinctive row of pine trees,51.888107,-2.4431175,--,Near Huntley,Gloucestershire,England,--,South West,4.41453E+11,cotswolds@nationaltrust.org.uk,https://www.nationaltrust.org.uk/may-hill,
127,Coleridge Cottage,91,1,Home of Romantic poet Samuel Taylor Coleridge,51.151657,-3.157475,35 Lime Street; Nether Stowey,Bridgwater,Somerset,England,TA5 1NQ,South West,4.41279E+11,coleridge.cottage@nationaltrust.org.uk,https://www.nationaltrust.org.uk/coleridge-cottage,
128,George Stephenson's Birthplace,140,1,Birthplace of the world-famous railway engineer,54.979287,-1.80473,--,near Wylam,Northumberland,England,NE41 8DS,Yorkshire and North East,4.41662E+11,georgestephensons@nationaltrust.org.uk,https://www.nationaltrust.org.uk/george-stephensons-birthplace,
129,Loughwood Meeting House,211,1,Atmospheric 17th-century thatched Baptist meeting house,50.788428,-3.061108,Dalwood,Axminster,Devon,England,EX13 7DU,South West,4.41752E+11,loughwood@nationaltrust.org.uk,https://www.nationaltrust.org.uk/loughwood-meeting-house,
130,Max Gate,221,1,Atmospheric Victorian home designed by Thomas Hardy,50.707901,-2.419803,Alington Avenue,Dorchester,Dorset,England,DT1 2FN,South West,4.41305E+11,maxgate@nationaltrust.org.uk,https://www.nationaltrust.org.uk/max-gate,
131,Bookham Commons,6123,0,"Ancient commons, mentioned in the Domesday Book, with grassland plains, mighty oak woods and serene ponds",51.289827,-0.3804575,Church Road,Great Bookham,Surrey,England,Nearest postcode KT23 3LT,London and South East,4.41307E+11,northdownswest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/bookham-commons,
132,Nymans,243,1," A garden lovers' home for all seasons, with an extensive yet intimate garden set around a romantic house and ruins. ",51.05228,-0.1993913,Handcross,near Haywards Heath,West Sussex,England,RH17 6EB,London and South East,4.41444E+11,nymans@nationaltrust.org.uk,https://www.nationaltrust.org.uk/nymans,
133,Oxburgh Hall,254,1,"Home to the Bedingfeld family for 500 years, Oxburgh reveals one family's unshakable Catholic faith and story of endurance",52.581215,0.5702691,Oxborough,near Swaffham,Norfolk,England,PE33 9PS,East of England,4.41366E+11,oxburghhall@nationaltrust.org.uk,https://www.nationaltrust.org.uk/oxburgh-hall,
134,Porth Meudwy,6169,0,It was from here that the Pilgrims set out to Ynys Enlli (Bardsey Island),52.847872,-4.532271,near Aberdaron,--,Gwynedd,Wales,--,Wales,4.41759E+11,porthmeudwy@nationaltrust.org.uk,--,
135,Saddlescombe Farm and Newtimber Hill,5253,0,A hidden hamlet nestled in the downs,50.888979,-0.1943217,Saddlescombe Road,near Brighton,West Sussex,England,BN45 7DE,London and South East,4.41274E+11,saddlescombe@nationaltrust.org.uk,https://www.nationaltrust.org.uk/saddlescombe-farm-and-newtimber-hill,
136,Winster Market House,6189,1,The first property to be acquired by the National Trust in the Peak District,53.14169,-1.639948,Winster Market House; Main Street,Winster,Derbyshire,England,DE4 2DJ,Midlands,4.41335E+11,winstermarkethouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/winster-market-house,
137,Boarstall Duck Decoy,40,1,A rare survival of a seventeenth-century duck decoy ,51.828999,-1.09014,Boarstall,near Bicester,Buckinghamshire,England,HP18 9UX,London and South East,4.41281E+11,boarstalldecoy@nationaltrust.org.uk,https://www.nationaltrust.org.uk/boarstall-duck-decoy,
138,Yorkshire Dales,222,0,"Enjoy picturesque villages, drystone walls, flower filled hay meadows and the characteristic rolling hills of the Dales.",54.104698,-2.17682,Malham Tarn; Waterhouses,Settle,North Yorkshire,England,BD24 9PT,Yorkshire and North East,4.4173E+11,yorkshiredales@nationaltrust.org.uk,https://www.nationaltrust.org.uk/yorkshire-dales,
139,Wordsworth House and Garden,382,1,Celebrate William Wordsworth's 250th birthday at his childhood home,54.663601,-3.36678,Main Street,Cockermouth,Cumbria,England,CA13 9RX,North West,4.41901E+11,wordsworthhouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/wordsworth-house-and-garden,
140,Upton House and Gardens,346,1,Lord and Lady Bearsted's 1930s country retreat.,52.1068,-1.45769,--,near Banbury,Warwickshire,England,OX15 6HT,Midlands,4.41296E+11,uptonhouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/upton-house-and-gardens,
141,Hidcote,172,1,Arts and Crafts-inspired garden with intricately designed outdoor spaces in the rolling Cotswold hills.,52.084,-1.74364,Hidcote Bartrim,near Chipping Campden,Gloucestershire,England,GL55 6LR,South West,4.41386E+11,hidcote@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hidcote,
142,Hanbury Hall and Gardens,160,1,"William and Mary-style country house, garden and park",52.275398,-2.08633,School Road; Hanbury,Droitwich Spa,Worcestershire,England,WR9 7EA,Midlands,4.41528E+11,hanburyhall@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hanbury-hall-and-gardens,
143,Strumble Head to Cardigan,6017,0,Pick up the pace in Pembrokeshire's walking country; this rugged and remote expanse of towering cliffs and rocky outcrops is punctuated with coastal paths and soaring sea views.,52.006828,-5.064023,--,"Strumble Head, Pencaer to Cardigan",Pembrokeshire,Wales,SA62,Wales,4.41438E+11,strumbletocardigan@nationaltrust.org.uk,https://www.nationaltrust.org.uk/strumble-head-to-cardigan,
144,Fyne Court,137,1,Explore a wild garden,51.082907,-3.112139,Broomfield,Bridgwater,Somerset,England,TA5 2EQ,South West,4.41823E+11,fynecourt@nationaltrust.org.uk,https://www.nationaltrust.org.uk/fyne-court,
145,Carnewas at Bedruthan,65,0,Dramatic coastline with views over huge rock stacks,50.481434,-5.027738,Bedruthan,near Padstow,Cornwall,England,PL27 7UW,South West,4.41638E+11,carnewas@nationaltrust.org.uk,https://www.nationaltrust.org.uk/carnewas-at-bedruthan,
146,Penmaen and Nicholaston Burrows,6095,0,"Archaeology, lichen rich dunes and the award winning Three Cliffs Bay",51.5718,-4.1204,--,--,Swansea,Wales,--,Wales,4.41792E+11,gower.admin@nationaltrust.org.uk,https://www.nationaltrust.org.uk/penmaen-and-nicholaston-burrows,
147,Lindisfarne Castle,202,1,"A year of stories, discoveries and contradictions in a castle (that's not a castle), on an island (that's not an island).",55.6698,-1.78756,Holy Island,Berwick-upon-Tweed,Northumberland,England,TD15 2SH,Yorkshire and North East,4.41289E+11,lindisfarne@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lindisfarne-castle,
148,St Michael's Mount,288,1,"Rocky island crowned by medieval church and castle, home to a living community",50.118099,-5.47565,--,Marazion,Cornwall,England,TR17 0HS,South West,4.41737E+11,stmichaelsmount@nationaltrust.org.uk,https://www.nationaltrust.org.uk/st-michaels-mount,
149,Aberdulais Tin Works and Waterfall,3,1,"An Industrial Revolution, powered by water since 1584!",51.680698,-3.77791,Aberdulais,Neath,Neath Port Talbot,Wales,SA10 8EU,Wales,4.4164E+11,aberdulais@nationaltrust.org.uk,https://www.nationaltrust.org.uk/aberdulais-tin-works-and-waterfall,
150,Selworthy,6241,0,"A timeless rural landscape of thatched cottages, nestled in the vale of the Holnicote Estate.",51.210558,-3.547135,on Exmoor; near Minehead,--,Somerset,England,--,South West,4.41644E+11,selworthy@nationaltrust.org.uk,https://www.nationaltrust.org.uk/selworthy,
151,Shaw's Corner,294,1,Country home of playwright Bernard Shaw for 44 years,51.836215,-0.26844,Ayot St Lawrence,near Welwyn,Hertfordshire,England,AL6 9BX,East of England,4.41439E+11,shawscorner@nationaltrust.org.uk,https://www.nationaltrust.org.uk/shaws-corner,
152,Osterley Park and House,251,1,A Georgian country estate in west London,51.489498,-0.35289,Jersey Road,Isleworth,Middlesex,England,TW7 4RB (sat nav TW7 4RD),London and South East,4.42082E+11,osterley@nationaltrust.org.uk,https://www.nationaltrust.org.uk/osterley-park-and-house,
153,Blackcap,6054,0,A classic downland experience with secret woodland glades,50.895237,-0.04667,--,Lewes,East Sussex,England,--,London and South East,4.41323E+11,blackcap@nationaltrust.org.uk,https://www.nationaltrust.org.uk/blackcap,
154,Buttermere Valley,60,0,"Tranquil area of dramatic fells, farms and woodland, encompassing three lakes",54.523625,-3.268423,Buttermere,near Cockermouth,Cumbria,England,CA13 9UZ,North West,4.41769E+11,buttermere@nationaltrust.org.uk,https://www.nationaltrust.org.uk/buttermere-valley,
155,Souter Lighthouse and The Leas,304,1,A marvel of its age,54.967999,-1.36124,Coast Road; Whitburn,Sunderland,Tyne & Wear,England,SR6 7NH,Yorkshire and North East,4.41915E+11,souter@nationaltrust.org.uk,https://www.nationaltrust.org.uk/souter-lighthouse-and-the-leas,
156,Noss Mayo,6081,0,Discover dramatic cliffs and the tranquil Yealm Estuary,50.3071,-4.036142,Noss Mayo,Plymouth,Devon,England,PL8,South West,4.41752E+11,southdevon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/noss-mayo,
157,South Snowdonia,6014,0,"Remote unspoilt mountains steeped in history, deep wooded valleys and spectacular estuaries",52.80119,-3.88969,Tyn-y-Coed workbase; Ganllwyd,Dolgellau,Gwynedd,Wales,LL40 2HE,Wales,4.41341E+11,eryri@nationaltrust.org.uk,https://www.nationaltrust.org.uk/south-snowdonia,
158,"Felbrigg Hall, Gardens and Estate",127,1,Truly a hidden gem,52.907469,1.25942499,Felbrigg,Norwich,Norfolk,England,NR11 8PP,East of England,4.41264E+11,felbrigg@nationaltrust.org.uk,https://www.nationaltrust.org.uk/felbrigg-hall-gardens-and-estate,
159,Derrymore House,104,1,Late 18th-century thatched house in gentrified vernacular style,54.189899,-6.38167,Bessbrook,Newry,County Armagh,Northern Ireland,BT35 7EF,Northern Ireland,4.42888E+11,derrymore@nationaltrust.org.uk,https://www.nationaltrust.org.uk/derrymore-house,
160,Tattershall Castle,326,1,Magnificent 15th century red brick castle - what wealth and power looks like,53.101002,-0.19063,Sleaford Road,Tattershall,Lincolnshire,England,LN4 4LR,Midlands,4.41526E+11,tattershallcastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/tattershall-castle,
161,The Hardmans' House,2505,1,Step back in time to the 1950s in this fascinating home and photographic studio,53.399843,-2.9737277,59 Rodney Street,Liverpool,Merseyside,England,L1 9ER,North West,4.41517E+11,thehardmanshouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hardmans-house,
162,Chilterns Countryside,6131,0,"Rolling hills, distant views, chalk grassland, and acres of woodland to explore",51.751671,-0.771511,Lodge Hill; Butlers Cross,Aylesbury,Buckinghamshire,England,HP17 0UR,London and South East,4.41495E+11,chilternscountryside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/chilterns-countryside,
163,Lanlay,5098,0,A landscape untouched by a generation of progress,51.47518,-3.32754,--,Peterston-super-Ely,Vale of Glamorgan,Wales,CF5 6LF,Wales,4.41875E+11,brecon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lanlay,
164,Woolacombe,5109,0,"Spectacular coastline of cliff, coves, beaches, dunes and headlands",51.178733,-4.167389,--,Woolacombe,Devon,England,EX34 7DL (Tourist Information),South West,4.41272E+11,northdevon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/woolacombe,
165,The Weir Garden,356,1,Escape to this spectacular riverside garden and be absorbed by natural beauty. ,52.072899,-2.82203,Swainshill,Hereford,Herefordshire,England,HR4 7QF,Midlands,4.41982E+11,theweir@nationaltrust.org.uk,https://www.nationaltrust.org.uk/the-weir-garden,
166,West Runton and Beeston Regis Heath,6118,0,"Woods, heaths and the best coastal views",52.92557,1.247689,Roman Camp,West Runton,Norfolk,England,NR27 9ND,East of England,4.41264E+11,westrunton@nationaltrust.org.uk,https://www.nationaltrust.org.uk/west-runton-and-beeston-regis-heath,
167,Mill Bay,6216,0,"There are sandy beaches at Mill Bay, Sunny Cove and Seacombe Sands, with rugged walking past coastguard lookouts towards Prawle.",50.22916215,-3.76627275,--,--,--,--,--,--,--,--,--,
168,Lundy,214,0,"Unspoilt island, home to a fascinating array of wildlife amidst dramatic scenery",51.1735,-4.67047,Bristol Channel,--,Devon,England,EX39 2LY (Bookings office),South West,4.41272E+11,northdevon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lundy,
169,St David's Visitor Centre and Shop,655,0,"Nestled in St David's, the visitor centre and shop is a brilliant base for discovering Pembrokeshire. Plan your visit with the team, have a browse and help support our special places.",51.880299,-5.26292,Captain's House; High Street,St David's,Pembrokeshire,Wales,SA62 6SD,Wales,4.41438E+11,stdavids.shop@nationaltrust.org.uk,https://www.nationaltrust.org.uk/st-davids-visitor-centre-and-shop,
170,Swan Barn Farm,6063,0,A quiet retreat of woodland and pasture only 30 seconds from Haslemere High Street,51.087323,-0.703522,Black Down Estate; Collards Lane,Haslemere,Surrey,England,GU27 2HU,London and South East,4.41429E+11,southdownswest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/swan-barn-farm,
171,The Vyne,348,1,"Explore a former Tudor powerhouse turned 17th-century family home, set in gardens, woodlands and wetlands. ",51.313783,-1.08401,Vyne Road; Sherborne St John,Basingstoke,Hampshire,England,RG24 9HL,London and South East,4.41257E+11,thevyne@nationaltrust.org.uk,https://www.nationaltrust.org.uk/the-vyne,
172,Watersmeet,355,0,Dramatic river gorge and ancient woodland in stunning surroundings,51.2211,-3.79444,Watersmeet Road,Lynmouth,Devon,England,EX35 6NT,South West,4.41599E+11,northdevon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/watersmeet,
173,Benthall Hall,30,1,A family home for 500 years,52.6208,-2.50303,--,Broseley,Shropshire,England,TF12 5RX,Midlands,4.41953E+11,benthall@nationaltrust.org.uk,https://www.nationaltrust.org.uk/benthall-hall,
174,Sutton Lane Meadows,6108,0,Traditional hay meadows rich in wild flowers,51.497764,-2.078461,Sutton Lane; Sutton Benger,Chippenham,Wiltshire,England,SN15 4LW,South West,4.41673E+11,wiltshire.countryside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sutton-lane-meadows,
175,Levant Mine and Beam Engine,201,1,"High-up on the exposed cliffs of the 'Tin Coast' and part of the Cornish Mining World Heritage Site. At its heart, the restored 1840s beam engine running on steam.",50.151001,-5.6827,Trewellard; Pendeen,near St Just,Cornwall,England,TR19 7SX,South West,4.41737E+11,levant@nationaltrust.org.uk,https://www.nationaltrust.org.uk/levant-mine-and-beam-engine,
176,Aberconwy House,2,1,14th-century merchant's house,53.282101,-3.82732,Castle Street,--,Conwy,Wales,LL32 8AY,Wales,4.41493E+11,aberconwyhouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/aberconwy-house,
177,Knowles Mill,4529,1,Preserved derelict mill on the Dowles Brook in the Wyre Forest,52.386007,-2.351114,Dowles Brook,Bewdley,Worcestershire,England,DY12 2LX,Midlands,4.41528E+11,knowlesmill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/knowles-mill,
178,Lantivet Bay,6223,0,"Coastal walks, wide open views and hidden coves",50.336196,-4.590936,Lantivet Bay; near Frogmore Farm,Lanteglos by Fowey,Cornwall,England,PL23 1NP,South West,4.41727E+11,lantivetbay@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lantivet-bay,
179,Sugar Loaf and Usk Valley,6010,0,"Iconic mountains, rich countryside and a sweeping 18th century landscaped park ",51.844095,-3.062519,--,Abergavenny,Monmouthshire,Wales,NP7 7LA,Wales,4.41875E+11,brecon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sugarloaf-and-usk-valley,
180,Godrevy,2364,0,"A vast sandy beach, high cliffs and dramatic coves.",50.238321,-5.393736,Gwithian,near Hayle,Cornwall,England,TR27 5ED,South West,4.41873E+11,godrevy@nationaltrust.org.uk,https://www.nationaltrust.org.uk/godrevy,
181,Eifionydd,6013,0,Snowdon's pastoral foothills reach down to the sea,53.081867,-4.334769,--,Dinas Dinlle,Gwynedd,Wales,LL54,Wales,4.41767E+11,eryri@nationaltrust.org.uk,--,
182,Botallack,6232,1,"On the wild Tin Coast, the famed Crowns engine houses cling to the foot of the cliffs. Part of the Cornish Mining World Heritage Site and Poldark filming location.",50.140729,-5.689126,on the Tin Coast,near St Just,Cornwall,England,TR19 7QQ,South West,4.41737E+11,botallack@nationaltrust.org.uk,https://www.nationaltrust.org.uk/botallack,
183,Middlethorpe Hall and Spa,4500,0,"Middlethorpe Hall Hotel Restaurant & Spa, handsome William and Mary country house set in 20 acres of garden and parkland within the City of Yorkâ€¦",53.93051,-1.088655,Bishopthorpe Road,York,North Yorkshire,England,YO23 2GB,Yorkshire and North East,4.41905E+11,info@middlethorpe.com,--,
184,Westwood Manor,364,1,Fifteenth century stone manor house,51.329399,-2.27024,Westwood,near Bradford-on-Avon,Wiltshire,England,BA15 2AF,South West,4.41226E+11,westwoodmanor@nationaltrust.org.uk,https://www.nationaltrust.org.uk/westwood-manor,
185,Northcott Mouth,6228,0,This small rocky beach opens up to expansive sand and rock pools as the tide drops.,50.847404,-4.553248,near Bude,--,Cornwall,England,--,South West,4.41209E+11,northcottmouth@nationaltrust.org.uk,https://www.nationaltrust.org.uk/northcott-mouth,
186,Clent Hills,5233,0,A stunning countryside haven in the heart of the busy Midlands,52.424253,-2.089071,--,near Romsley,Worcestershire,England,--,Midlands,4.41563E+11,clenthills@nationaltrust.org.uk,https://www.nationaltrust.org.uk/clent-hills,
187,Cheddar Gorge,4512,0,Discover the heights of Somerset's famous Cheddar Gorge,51.28534,-2.764218,The Cliffs,Cheddar,Somerset,England,BS27 3QE,South West,4.41279E+11,cheddargorge@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cheddar-gorge,
188,"Anglesey Abbey, Gardens and Lode Mill",9,1,Jacobean-style house with gardens and a working watermill,52.235915,0.2448,Quy Road; Lode,Cambridge,Cambridgeshire,England,CB25 9EJ,East of England,4.41224E+11,angleseyabbey@nationaltrust.org.uk,https://www.nationaltrust.org.uk/anglesey-abbey-gardens-and-lode-mill,
189,Runnymede and Ankerwycke,284,1,Riverside site of the sealing of Magna Carta,51.44799,-0.566896,Windsor Road,near Old Windsor,Surrey,England,SL4 2JL (SatNav: TW20 0AE),London and South East,4.41784E+11,runnymede@nationaltrust.org.uk,https://www.nationaltrust.org.uk/runnymede-and-ankerwycke,
190,Cragside,98,1,"Extraordinary Victorian house, gardens and woodland - the wonder of its age",55.312599,-1.8817,Rothbury,Morpeth,Northumberland,England,NE65 7PX,Yorkshire and North East,4.4167E+11,cragside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cragside,
191,"Priest's House, Easton on the Hill",267,1,Small pre-Reformation stone building,52.629364,-0.5095124,38 West Street; Easton on the Hill,near Stamford,Northamptonshire,England,PE9 3LS,Midlands,4.41832E+11,priestshouse2@nationaltrust.org.uk,https://www.nationaltrust.org.uk/priests-house-easton-on-the-hill,
192,East Riddlesden Hall,120,1,Historic house and intimate gardens with lots of natural play areas for families to enjoy.,53.873199,-1.87589,Bradford Road; Riddlesden,Keighley,West Yorkshire,England,BD20 5EL,Yorkshire and North East,4.41536E+11,eastriddlesden@nationaltrust.org.uk,https://www.nationaltrust.org.uk/east-riddlesden-hall,
193,Shaugh Bridge,6236,0,Ancient oakwoods and mossy boulders cloak the Plym Valley; riverside walks pass the atmospheric Dewerstone Rocks and industrial ruins.,50.453951,-4.06731,on Dartmoor; near Shaugh Prior,--,Devon,England,--,South West,4.41753E+11,dartmoor@nationaltrust.org.uk,https://www.nationaltrust.org.uk/shaugh-bridge,
194,Scotney Castle,291,1,Romantic garden with view of 14th century moated castle and the Victorian country mansion and - all in a beautiful wooded estate,51.092783,0.408198,Lamberhurst,Tunbridge Wells,Kent,England,TN3 8JB,London and South East,4.41893E+11,scotneycastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/scotney-castle,
195,St Anthony Head,6192,0,Tucked away at the bottom of the Roseland there's lots to discover for everyone.,50.141698,-5.0145383,St Anthony Head; nr Portscatho,Truro,Cornwall,England,TR2 5HA,South West,4.41873E+11,stanthonyhead@nationaltrust.org.uk,https://www.nationaltrust.org.uk/st-anthony-head,
